epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,191.893,1.80813,0.81637,0.97042,0.59267,0.00333182,0.00333182,0.00333182
2,402.643,0.43834,0.90768,0.99107,0.26173,0.00633523,0.00633523,0.00633523
3,612.262,0.39122,0.9416,0.99847,0.17128,0.00900864,0.00900864,0.00900864
4,802.555,0.31998,0.97756,1,0.06041,0.008515,0.008515,0.008515
5,1011.1,0.23182,0.98801,1,0.04021,0.00802,0.00802,0.00802
6,1208.16,0.18114,0.98827,1,0.03674,0.007525,0.007525,0.007525
7,1377.96,0.15662,0.99362,1,0.02014,0.00703,0.00703,0.00703
8,1566.91,0.13253,0.99413,1,0.01785,0.006535,0.006535,0.006535
9,1770.14,0.1231,0.99592,1,0.01544,0.00604,0.00604,0.00604
10,1949.36,0.11219,0.99566,1,0.01203,0.005545,0.005545,0.005545
11,2114.77,0.09127,0.99796,1,0.00785,0.00505,0.00505,0.00505
12,2284.07,0.08756,0.99821,1,0.00691,0.004555,0.004555,0.004555
13,2472.52,0.08416,0.99898,1,0.00527,0.00406,0.00406,0.00406
14,2640.87,0.07699,0.99898,1,0.00482,0.003565,0.003565,0.003565
15,2807.45,0.06594,0.99872,1,0.00428,0.00307,0.00307,0.00307
16,2983.46,0.06514,0.99872,1,0.00471,0.002575,0.002575,0.002575
17,3167.44,0.05809,0.99872,1,0.00487,0.00208,0.00208,0.00208
18,3329.69,0.05269,0.99898,1,0.00316,0.001585,0.001585,0.001585
19,3497.71,0.04772,0.99949,1,0.00224,0.00109,0.00109,0.00109
20,3680.97,0.04217,0.99949,1,0.00194,0.000595,0.000595,0.000595
