epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,186.279,1.82566,0.88268,0.98342,0.39488,0.00333182,0.00333182,0.00333182
2,397.515,0.44533,0.91405,0.99107,0.25744,0.00633523,0.00633523,0.00633523
3,614.854,0.39677,0.94823,0.99668,0.15531,0.00900864,0.00900864,0.00900864
4,817.704,0.34066,0.96634,0.99949,0.08884,0.008515,0.008515,0.008515
5,995.361,0.22749,0.98164,0.99974,0.05349,0.00802,0.00802,0.00802
6,1209.15,0.18991,0.98827,1,0.0351,0.007525,0.007525,0.007525
7,1434.26,0.15398,0.99209,1,0.02199,0.00703,0.00703,0.00703
8,1654.41,0.12357,0.99566,0.99974,0.01795,0.006535,0.006535,0.006535
9,1878.24,0.11457,0.99464,1,0.01507,0.00604,0.00604,0.00604
10,2136.15,0.10841,0.99643,1,0.01239,0.005545,0.005545,0.005545
11,2398.29,0.09754,0.99847,1,0.00756,0.00505,0.00505,0.00505
12,2687.73,0.09224,0.99974,1,0.0052,0.004555,0.004555,0.004555
13,2996.75,0.08195,0.99872,1,0.00572,0.00406,0.00406,0.00406
14,3306.34,0.07586,0.99898,1,0.00448,0.003565,0.003565,0.003565
15,3611.65,0.07087,0.99974,1,0.00304,0.00307,0.00307,0.00307
16,3912.62,0.06385,0.99847,1,0.0034,0.002575,0.002575,0.002575
17,4206.4,0.0615,0.99923,1,0.00264,0.00208,0.00208,0.00208
18,4510.26,0.05207,0.99949,1,0.00263,0.001585,0.001585,0.001585
19,4821.76,0.04668,0.99923,1,0.00299,0.00109,0.00109,0.00109
